[Mesh]
[node_ids]     [x]            [y]         [z]         [connectivity]      [element_type]           
1              0.000000       0.0         0.0         (1,2)               EulerBernoulliBeamElement3D
2              0.200000       0.0         0.0         (2,3)               EulerBernoulliBeamElement3D
3              0.400000       0.0         0.0         (3,4)               EulerBernoulliBeamElement3D
4              0.600000       0.0         0.0         (4,5)               EulerBernoulliBeamElement3D
5              0.800000       0.0         0.0         (5,6)               EulerBernoulliBeamElement3D
6              1.000000       0.0         0.0         (6,7)               EulerBernoulliBeamElement3D
7              1.200000       0.0         0.0         (7,8)               EulerBernoulliBeamElement3D
8              1.400000       0.0         0.0         (8,9)               EulerBernoulliBeamElement3D
9              1.600000       0.0         0.0         (9,10)              EulerBernoulliBeamElement3D
10             1.800000       0.0         0.0         (10,11)             EulerBernoulliBeamElement3D
11             2.000000       0.0         0.0         -                   -                        
